logical_function_id,logical_function_name,domain,data_source_type,default_filter_id,compute_native_type,dal_level,min_mips,description
LF_Perception_Radar,Radar Perception,perception,cpu_load,0x51,NPU,C,10000,Radar obstacle perception on SoC NPU
LF_Perception_Camera,Camera Perception,perception,cpu_load,0x52,ISP,C,80000,Camera vision perception on SoC ISP
LF_Path_Planning,Path Planning,planning,planning_telemetry,0x71,CPU,C,15000,Global and local path planning on SoC CPU
LF_Comm_Telemery,Telemetry Communication,communication,traffic_volume,0x46,CPU,D,1000,SoC to GCS telemetry communication manager
LF_Comm_MCU,MCU Communication,communication,traffic_volume,0x45,CPU,C,1000,SoC to MCU cross-domain communication manager
LF_RC_Parser,RC Parser,control,control_input,0x43,MCU,A,500,Remote control parsing on MCU GP4
LF_INS_Parser,INS Parser,control,gnc_state,0x42,MCU,B,500,Inertial navigation parsing on MCU GP4
LF_Flight_Control,Flight Control,control,gnc_command,0x44,MCU,A,500,Core flight control law on MCU GP1 or GP2
LF_SoC_Adapter,SoC Adapter,communication,bus_traffic,0x44,MCU,B,200,SoC communication adapter on MCU GP2
LF_Motor_Driver,Motor Driver,actuation,actuator_output,0x41,MCU,B,100,Motor PWM driver on MCU GP3